Name	Value	Count
Mini Stop - Bùi Viện	394	100
Mini Stop - Cách Mạng Tháng 8	768	192
Mini Stop - D2	40	10
Mini Stop - Đặng Văn Ngữ	1476	369
Mini Stop - Đào Duy Từ	287	82
Mini Stop - Điện Biên Phủ	144	48
Mini Stop - Đường D2	14	4
Mini Stop - Hòa Hưng	731	184
Mini Stop - Hoàng Hoa Thám	63	18
Mini Stop - Lam Sơn	32	8
Mini Stop - Nguyễn Đình Chiểu	661	182
Mini Stop - Nguyễn Hồng Đào	616	154
Mini Stop - Nguyễn Kiệm	37	10
Mini Stop - Nguyễn Thị Minh Khai	49	15
Mini Stop - Nguyễn Văn Đậu	115	23
Mini Stop - Phạm Viết Chánh	745	190
Mini Stop - Quách Văn Tuấn	112	28
Mini Stop - Tân Sơn Nhì	21	6
Mini Stop - Trần Doãn Khanh	294	96
Mini Stop - Trần Thiện Chánh	288	72
Mini Stop - Vũ Huy Tấn	385	110
Mint And Paul - Cafe & Restaurant	8	2
Mint and Paul Cafe Restaurant	52	13
Mint Jen	0	11
Mintie.the.cake	153	43
Mira chan's Merry Shop	10	2
Miracle Desserts Cafe	7	2
Mirai - Nhà Hàng Nhật	15	4
Mirai Sushi	24	6
Misaki House	12	4
Misaki House - Món Nhật	6	2
Misaki Sushi	43	14
Misa's Cake & Drink	0	6
Miss D	12	4
Miss4april 	0	1
MiTau - Quán Ăn Huế	4	1
miuu.icecream	0	3
Mix Max - Trái Cây Dầm Tự Chọn	6	2
Mix Max - Trái cây lắc	146	30
Mixu-Puli Store	6	2
Miya Sushi & BBQ	2777	755
Mizuwa Tea - Cộng Hòa	15	4
Mizuwa Tea - Trà Sữa	4	1
MK Restaurant	0	1
MNS ICE SNOW - Đá Bào Mật Trái Cây Rừng - Quang Trung	7	2
Mo Mo Paradise - Nguyễn Thị Minh Khai	40	10
Mo Mo Paradise - Vincom Mega Mall Thảo Điền	17	4
MOB - Beer Club	16	4
MOB - Beer Club - Nam Kỳ Khởi Nghĩa	16	4
Mobile Đài Loan	15	3
Mộc - Bánh Mì Nướng - Hồ Tùng Mậu	8	2
Mộc - Riêu & Nướng	39	9
mộc cafe	40	8
Mộc Cafe - Nguyễn Đình Chiểu	55	12
Mộc Garden	1	1
Mộc Hỷ - Rau Củ Quả Sạch	1000	250
Mộc Lan Spa	105	30
Mộc Quán 	4	1
Mộc Quán - Lam Sơn	5	1
Mộc Riêu Nướng	19	4
Mộc Trà - Tú Xương	8	2
Mochi Sweets - Bitexco Tower	8	10
Mochi Sweets - Crescent	25	5
Mochi Sweets - Parkson Hùng Vương	8	2
Mochi Sweets - Trần Hưng Đạo	8	2
Mochi Sweets - Vincom	28	7
Mochi Sweets - Vincom B	4	1
Mochi Sweets - Vincom Center A	64	16
Mochi Yuu	3	1
Mochido - Parkson Cantavil	12	4
MockingBird Cafe	75	19
Moda Coffee House	36	9
Moda House Coffee - Tô Ký	9	2
MOF Japanese Dessert Cafe - Crescent Mall	40	10
MOF Japanese Dessert Cafe - Hùng Vương Plaza	4	1
MOF Japanese Dessert Cafe - Kumho Asiana	38	10
MOF Japanese Dessert Cafe - Lê Duẩn	4	1
MOF Japanese Dessert Cafe - Lê Lợi	111	28
MOF Japanese Dessert Cafe - Parkson Hùng Vương	45	12
MOF Japanese Dessert Cafe - Saigon Pearl	42	9
MOF Japanese Dessert Cafe - SC VivoCity	11	3
MOF Japanese Dessert Cafe - Somerset	245	53
MOF Japanese Dessert Cafe - UnionSquare	4	1
MOF Japanese Dessert Cafe - Vincom Center	36	9
MOF Japanese Desserts and Dining - Vivo City	245	49
MOF Japanese Sweets & Coffee - Hùng Vương Plaza	60	15
MOF Japanese Sweets & Coffee - Lê Lợi	56	14
MOF Japanese Sweets and Coffee - Crescent Mall	80	20
MOF Japanese Sweets and Coffee - Kumho Asiana	103	21
MOF Japanese Sweets and Coffee - Sài Gòn Pearl	64	16
MOF Japanese Sweets and Coffee - Vincom Center	68	17
Mogu Mogu BBQ - Nguyễn Đình Chiểu	8	4
Mọi Mọi Sả Gừng	12	3
Mol Celar	10	2
Mom Make	0	7
Mommy Spa	1661	452
Momo Paradise - Buffet Lẩu Nhật	45	9
Mon Chéri	73	17
Mon Hue	1608	448
Món Huế - Lê Văn Sỹ	4	1
Món Huế O Hiệp - Cộng Hòa	0	3
Món Lạ - Lẩu Cua Đồng	4	1
Món Ngon Của Ngoại	5	1
Món Ngon Lê Nguyễn - Đường Số 4	8	2
Món Ngon Mẹ Làm	30	6
Món Ngon Nam Bộ	40	8
Món Ngon Ngày Tết Bobby Phan Tấn Thịnh	4	1
Món Ngon Nhà Quê - Giao Hàng Tận Nơi	927	206
Món NGON Nha Trang	9	3
Món Ngon Việt Nam Restaurant & Cooking Class	8	2
Monkey in Black - Lê Văn Sỹ	325	65
Monkey In Black - Sư Vạn Hạnh	149	38
Monkey in Black - Trần Quang Khải	84	21
Monkey In Black Cafe - Lê Văn Sỹ	85	24
Monkey In Black Cafe - Sư Vạn Hạnh	57	16
Monkey In Black Cafe - Trần Quang Khải	62	16
Mono Brunch & Coffee	60	12
Monologues - Cafe Sách	32	8
Monsieur Takano Coffee & Tea	44	11
Monsieur Takano Tea and Cake	24	6
Monsoon Restaurant & Bar Saigon	8174	1952
Moo Beef Steak	9034	2040
Moo Beef Steak - Đồng Khởi	61	16
Moon & Sun Fresh Ice Cream - Homemade	4	1
Moon Cat Gift	150	30
Moon Fast Food	212	53
Moon Fast Food - Món Hàn - Xuân Hồng	18	4
Moon Fast Food - Xuân Hồng	59	16
Moon Light Karaoke	88	44
Moonfly - Chấn Hưng	4	1
Moonlight Cafe & Lounge	4	1
Moonlight Cafe Rooftop	12	3
Moon's Kitchen - Hoa Mai	76	19
Moon's Kitchen - Korea BBQ & Coffee	24	6
Moon's Kitchen - Korea BBQ. Beer. Coffee	35	9
Mosskafe - Ba tháng Hai	12	3
Một Mình Cafe	8	2
Motif Coffee - Đường số 6	77	17
Motif Coffee Take Away	11	3
Motif Coffee Take Away Hậu Giang	65	13
Motown Gastropub	158	47
Motown Gastropub Saigon	64	16
Mountain Retreat	9304	2104
Mountain Retreat - Vietnamese Cuisine - Lê Lợi	8	2
Mountain Retreat - Vietnamese Restaurant	50	10
Mr BBQ - Nướng Ngoài Trời	5	1
Mr Potato - Lê Lai	8	2
Mr Potato - Sư Vạn Hạnh 	13	3
Mr. BBQ & SsAm	4	2
Mr. Cake	705	209
Mr. Cake - Lê Văn Sỹ	7	2
Mr. Cake - Tân Phú	8	2
MR. CRAB - Bờ Kè Lâm Viên	2	1
Mr. DEE Crescent Mall - Món Tráng Miệng	7	2
Mr. DEE Nguyễn Kiệm - Món Tráng Miệng	8	2
Mr. DEE Võ Văn Tần - Món Tráng Miệng	12	4
Mr. Kiss - Nhà Hàng Hàn Quốc	10	2
Mr. Ox	16	5
Mr. Park - Sườn Nướng Hàn Quốc	72	18
Mr. Park - Sườn Nướng Hàn Quốc 	9	2
Mr. Park Vũng Tàu	65	13
Mr. Pig - Xiên Nướng Đồng Giá	7	2
Mr. Potato - Hùng Vương Square	92	23
Mr. Potato - Lê Lai	177	46
Mr. Potato - Sư Vạn Hạnh	201	51
Mr. Tí Đô - Nguyễn Ảnh Thủ	96	24
Mr. Tí Đô Coffee	80	20
Mr.8 Coffee - Cách Mạng Tháng 8	24	8
Mr.8 Coffee - Cách Mạng Tháng Tám	52	13
Mr.8 Coffee - Hai Bà Trưng	6	2
Mr.BBQ - Ẩm thực Hàn Quốc	17	6
Mr.Dee - AEON Mall Tân Phú	12	3
Mr.Dee - Cresent Mall	36	9
MR.DEE - Võ Văn Tần	96	24
Mr.F House Coffee	8	2
Mr.Pizza - Nguyễn Văn Linh	3	1
ms.eagle_bakery	12	4
MT's House	0	5
Mưa Coffee	15	4
Mùa Vàng - Ẩm Thực Vùng Miền	27	6
Mực 1 nắng Nha Trang - Lý Thường Kiệt	5	1
Mực 280 - Mực Một Nắng Chiên Nước Mắm	16	4
Mực Rim Cam - Shop Online	500	111
Mực rim ROBOT	9	3
Mumtaz	2550	742
Mumtaz Indian Restaurant	7054	1843
Muối É – Bánh Canh Hẹ & Lẩu Gà Lá É	8	2
Mười Tâm 2 - Cháo Bầu	8	2
Mường Thanh Sài Gòn Hotel	96	24
Musa - Cà ri Ấn Độ	24	6
Musa - Cà Ri Dê Ấn Độ	20	7
Mxinh Spa & Beauty Center - Tôn Dật Tiên	888	222
My Banh Mi	10599	2372
Mỳ cay NAGA - Lạc Long Quân	8	2
My Chicken Run	84	21
My Chicken Run - Nguyễn Văn Thủ	75	15
My Dimsum	1702	464
Mỳ Dym Sum	12	3
Mỹ Lan - Bánh Cá Nướng Taiyaki	48	12
My Life Cafe - Trần Hưng Đạo	46	13
My Life Cafe - Trương Định	79	20
Mỹ Mãn Karaoke	7	2
Mỳ Sủi cảo Dim-Sum Đồng Đồng	3	1
My Sushi	3110	743
My Time Spa	5	2
Mỹ Trân - Lạp Xưởng & Bánh Pía	960	240
Mỹ Viện Callalily - Massage Body Tinh Dầu	24	8
MYLIFE Cafe - Trần Hưng Đạo	12	3
MyLife Coffee - Trần Hưng Đạo	119	25
Mynt Bakery online	55	11
MZ coffee - restaurant	939	200
MZ Coffee Restaurant	8306	1905
n.d.store - Đồ ăn Hàn Quốc	123	32
Na À Na	5	1
Nailxinh.org - Hoàng Văn Thụ	632	158
Nak Spa - Hai Bà Trưng	24	6
Nally Trần	0	9
Nam Hy Cafe 	8	2
Nam Lợi Quán - Hủ Tiếu Cá	67	17
Năm Lửa 4 - Linh Trung	8	2
Năm Mười Mười Lăm	94	19
Năm Mười Mười Lăm Cafe	24	6
Nấm Nhật Thiên Mộc Linh	952	238
Nấm Nhật Thiên Mộc Linh - Mỹ Thái	16	4
Nam Phan - Finest Vietnamese Seafood	24	6
Nam Phong Cafe - Bãi Cháy	24	8
Năm Sánh 2 - Bò Tơ Tây Ninh	4	1
Nam Thủy - Cầy Tơ 9 Món	3	2
Nama Chocolate Corner - Cửa Hàng Socola Tươi	528	107
Namaste India	6002	1469
Namiko Kitchen	5	1
NAMO Artisanal Pizzeria	1526	365
Namu Sushi - Trần Khánh Dư	8	2
nana food	0	2
Nanachan Crepes	25	5
Nana's Crepes	28	7
Nàng Cua Quán - Nguyễn Công Trứ	12	4
Nàng Gánh - Gánh Hàng Rong	6	2
Nano Nature Spa	162	108
NaPeach24	0	1
Napoli Cafe - 3 Tháng 2	2	1
Napoli Coffee	9	2
Napoli's Pizaa & Caffe	8106	1874
Napoli's Pizza - Đông Du	8	2
Napoli's PIZZA & CAFFE - Lý Tự Trọng	56	14
Nathalie’s Thái	16	4
Natraj	3905	880
NATRAJ - Món Ăn Ấn Độ	24	6
Natu House	8	2
Nature Republic - Spa Nature Skin Care	488	122
Nâu Cáo - Shop Online	20	4
Nâu Nâu	6	2
NẤU TIỆC TẠI NHÀ	55	11
NaVy Shop	12	4
NCook	538	202
NCook - Giao Đồ Ăn Đêm SG	135	27
Neko SuShi - Nguyễn Trãi	72	18
Neko Sushi & Okonomiyaki	31	8
Nem Ân Điển	7	2
Nem khoai ngõ Hài Tượng	25	5
Nem Nướng Bà Sáu	5	1
Nem Nướng Bánh Cuốn - D2	135	27
Nem Nướng Bến Có Trà Vinh	35	7
Nem Nướng Chợ Lớn	5	1
Nem Nướng Chợ Lớn - Giao Hàng Tận Nơi	7	2
Nem nướng Đà Lạt	5	2
Nem Nướng Gánh - Phạm Ngọc Thạch	4	1
Nem Nướng Hùng Vân - Bùi Thị Xuân	25	5
Nem Nướng Lụi 	10	2
Nem Nướng Mỹ Hảo - Đặc Sản Ninh Hòa	6	2
Nem Nướng Nahutha - Thích Quảng Đức	7	2
Nem Nướng Ngọc Nam	7	2
Nem nướng Nguyễn Đặng	0	3
Nem nướng Nha Trang - Hoàng Diệu	15	3
Nem Nướng Quế Quân	4	1
Nem nướng Thống Nhất	16	4
Nem tươi Cô Tư Sài Gòn	3	1
Nem Vuông - Nguyễn Thị Minh Khai	35	7
Nemo - Ăn Vặt Cá Viên Chiên	8	2
Nến Cafe - Trần Huy Liệu	20	8
Nep Restaurant	8559	1865
Nest Cafe - Bitexco Tower	18	9
Nét Huế 33 Nguyễn Chí Thanh	4	1
New Epoch Cafe	25	6
New Epoch Teashop	64	14
New Epoch Teashop - Trần Minh Quyền	90	18
New Life Coffee	15	4
New Look Vn	54	12
New Space Cafe - DJ Shisha	15	3
New World Saigon Hotel	1352	336
New York Steakhouse & Winery	8	2
Newdays "Japanese Matcha & Coffee" - Vincom Plaza Gò Vấp	24	6
Newdays "Japanese Matcha Cafe" - Phan Xích Long	24	8
NewDays Matcha & Coffee - Cống Quỳnh	42	11
NewDays Matcha & Coffee - Đường Số 7	13	4
NewDays Matcha & Coffee - Phan Xích Long	47	10
NewDays Matcha & Coffee - Vincom Lê Văn Việt	7	2
Newlife Gym	1539	342
Newtown Coffee	5	1
Ngẫm Cafe - Nhẹ Nhàng & Ấm Cúng	8	2
Ngan Bui	0	1
Ngan Kim	0	2
Ngân Ngô	0	3
Ngan Vuong PG Choco	55	11
Nghi Phương	0	1
Nghĩa Phát - Quán Nhậu Hải Sản	12	4
Nghiện Quán	0	2
Ngõ - Vincom	8	2
Ngõ - Vincom Center	192	48
Ngõ 8 - Trà Chanh & Lẩu Riêu Cua Đồng	44	11
Ngõ 8 - Trà Chanh & Lẩu Riêu Cua Đồng - Cù Lao	118	34
Ngõ 8 - Trà Chanh & Lẩu Riêu Cua Đồng - Trương Định	35	9
Ngõ 8 - Trương Định	96	24
Ngõ 89 - Trà Chanh & Nem Chua Rán	36	27
Ngô nướng phô mai Taiwan Dian Xin	4	1
Ngộ Quán - Ẩm Thực Chay	7	2
Ngò Rí - Nhà Hàng Thái Lan	7	2
Ngò Rí Conriander	30	10
Ngô Tuệ Minh	9	3
Ngọc Anh Spa & Massage - Mai Thị Lựu	766	194
Ngọc Bích - Cơm Gà Nướng 	14	4
Ngoc Chau Garden	9092	2042
Ngọc Châu Garden - Home Cooked Vietnamese Restaurant	8	2
Ngọc Hân - Đặc Sản Tây Ninh	24	6
Ngoc Hue	760	190
Ngọc Lan Drink 	4	1
Ngọc Lan Drink - Đường số 18	48	12
Ngọc Minh - Phở Khô Gia Lai	8	2
Ngọc Nga - Bánh Flan Thập Cẩm	29	8
Ngoc Nhu Nguyen	18	6
Ngọc Phương Nghi Trần	9	3
Ngọc Sương - Sương Nguyệt Ánh	1592	398
Ngọc Sương Bến Thuyền - Nguyễn Văn Trỗi	8	2
Ngọc Trâm	10	2
Ngói Đỏ BBQ	20	5
Ngôi Làng Bắc Âu - AEON Mall	1350	300
Ngon Asia House	140	35
Ngon lạ online	0	10
Ngon Ngon - Nhà Hàng Bò Tơ 7 Món 	5	2
Ngon Như Bún	13	4
Ngon Restaurant	1840	481
Ngọt shop	30	6
Người Sài Gòn Cafe - Thái Văn Lung	8	2
Nguyên Coffee	4	1
Nguyễn Hoàng Yến Linh	0	4
Nguyễn Karaoke - Lê Hồng Phong	184	46
Nguyên Nguyên	0	1
Nguyên Sinh - Ẩm Thực Pháp	13	4
Nguyễn Trâm Anh ( T-a Bakery )	15	3
Nguyệt Hỷ - Lẩu Nhúng & Xiên Que - Trường Sơn	30	10
Nguyệt Hỷ - Lẩu Nhúng Và Xiên Que	84	21
Nguyệt Hỷ - Lẩu Nhúng và Xiên Que - 466 Nguyễn Tri Phương	5	1
Nguyệt Hỷ - Lẩu Nhúng Và Xiên Que - Nguyễn Tri Phương	37	12
Nguyệt Quế 2 Spa - Sư Vạn Hạnh	728	182
Nguyệt Quế Spa	911	232
Nhà Ấm Cafe	40	8
Nhà của kitty	15	5
Nhà Ga 3A - Station 3A	116	29
Nhà Hàng - Hầm Rượu Vang Hàng Dương Quán	35	7
Nhà Hàng - Khách Sạn Thi Thảo	5	1
Nhà Hàng - Phòng Trà Ân Nam	397	126
Nhà Hàng 68 Lộc Phát	8	2
Nhà hàng 7 kỳ quan 	4	1
Nhà hàng Ẩm Thực Chay Hạt Bồ Đề	44	11
Nhà Hàng Ẩm Thực Chay Om	8	2
Nhà Hàng Ánh Sao	8	2
Nhà hàng Ao Sen Quán - Hồ Văn Cống	5	1
Nhà Hàng Bio Garten 	8	2
Nhà Hàng Buffet Hoàng Yến - Bitexco	32	8
Nhà hàng Cầu Vồng - Mì 7 tô	108	27
Nhà Hàng Cầu Vồng - Nguyễn Duy Dương	19	5
Nhà Hàng Chay Ba Lá - Cao Bá Nhạ	8	2
Nha hang chay Phuong Mai	813	195
Nhà hàng chay Sen Vàng	35	7
Nhà Hàng Chay Thanh Phương - Tara House	8	2
Nhà Hàng Cơm Niêu Việt Nam	12	3
Nhà Hàng CT - Món Ăn Việt Nam	8	2
Nhà Hàng Cường Tầu - Lẩu Dê	8	2
Nhà Hàng Đất Phương Nam - Huỳnh Tịnh Của	5	1
Nhà hàng Dìn Ký	68	17
Nhà Hàng Đồng - Ẩm Thực Việt Nam	1211	372
Nhà Hàng Đông Hồ - Cao Thắng	72	36
Nhà hàng Ếch Xanh - Nguyễn Cảnh Chân	10	2
Nhà hàng Gánh	0	3
Nhà hàng Góc Á	16	7
Nhà Hàng Gold 2 - Hải Sản & Cá	16	4
Nhà Hàng Grand Palace - Tiệc Cưới Hội Nghị	1894	477
Nhà Hàng Haani - Đinh Tiên Hoàng	7	2
Nhà Hàng Hải Đăng 1	17	4
Nhà Hàng Hàn Quốc Daks	7	2
Nhà Hàng Hàn Quốc DOYAGI	22	6
Nhà Hàng Hàn Quốc Lee Cho	40	10
Nhà Hàng Hàn Quốc Lee Cho - Hưng Phước 2	15	4
Nha Hang Hoa Khai	789	186
Nhà hàng Hoàn Kiệt	5	1
Nhà Hàng Hoàng Ty Bình Tân	21	6
Nhà Hàng Huế Ngon	39	8
Nhà Hàng Hương Sen - Hương Sen Hotel	936	234
Nhà hàng J.CAT - Cao Thắng	230	46
Nhà Hàng La Casa - Bùi Viện	1	1
Nhà hàng Lã Vọng - Seafood & Buffet	4	1
Nhà Hàng Lâm Cua	16	4
Nhà hàng Lil' Sago	40	10
Nhà Hàng Lil' Sago - Cơm & Lẩu - Võ Văn Tần	50	12
Nhà Hàng Lil' Sago - Võ Văn Tần	95	19
Nhà hàng Mì Nhật Osaka	32	8
Nhà Hàng Món Huế - 10 Đường 3 Tháng 2	18	4
Nhà Hàng Món Huế - 11 Lê Thánh Tôn	8	2
Nhà Hàng Món Huế - 1213 Ba Tháng Hai	30	7
Nhà Hàng Món Huế - 3 Tháng 2	70	17
Nhà Hàng Món Huế - 682 Trần Hưng Đạo	37	9
Nhà hàng Món Huế - Aeon Mall	17	4
Nhà Hàng Món Huế - An Dương Vương	8	2
Nhà Hàng Món Huế - Âu Cơ	140	28
Nhà Hàng Món Huế - Âu Cơ 	39	9
Nhà Hàng Món Huế - Cao Thắng	76	17
Nhà Hàng Món Huế - Cresent Mall	8	2
Nhà Hàng Món Huế - Đào Duy Anh	42	10
Nhà Hàng Món Huế - Đề Thám	12	3
Nhà Hàng Món Huế - Diamond Plaza	24	6
Nhà Hàng Món Huế - Đinh Bộ Lĩnh	8	2
Nhà Hàng Món Huế - Đinh Tiên Hoàng	62	13
Nhà Hàng Món Huế - Đồng Khởi	62	15
Nhà Hàng Món Huế - Đường Số 7	21	5
Nhà Hàng Món Huế - Green View	25	6
Nhà Hàng Món Huế - Hai Bà Trưng	23	6
Nhà Hàng Món Huế - Huỳnh Thúc Kháng	62	13
Nhà Hàng Món Huế - Lê Thánh Tôn	70	14
Nhà Hàng Món Huế - Lê Văn Sỹ	9	2
Nhà Hàng Món Huế - Lê Văn Việt	36	9
Nhà Hàng Món Huế - Lotte Mart Q7	18	4
Nhà Hàng Món Huế - Lý Thường Kiệt	25	6
Nhà Hàng Món Huế - Nguyễn Chí Thanh	32	8
Nhà Hàng Món Huế - Nguyễn Đức Cảnh	64	16
Nhà Hàng Món Huế - Nguyễn Thái Sơn	42	10
Nhà Hàng Món Huế - Nguyễn Trãi	66	15
Nhà Hàng Món Huế - Nguyễn Tri Phương	8	2
Nhà Hàng Món Huế - Nguyễn Văn Trỗi	24	6
Nhà Hàng Món Huế - Park View	84	18
Nhà Hàng Món Huế - Pasteur	15	4
Nhà Hàng Món Huế - Phan Xích Long	51	14
Nhà Hàng Món Huế - SB2-1 Park View	13	3
Nhà Hàng Món Huế - Song Hành	38	9
Nhà Hàng Món Huế - Tân Sơn Nhì	9	2
Nhà Hàng Món Huế - Thảo Điền	48	12
Nhà Hàng Món Huế - Tô Hiến Thành	9	2
Nhà Hàng Món Huế - Tôn Dật Tiên	8	2
Nhà Hàng Món Huế - Trần Duy Hưng	4	1
Nhà Hàng Món Huế - Trần Hưng Đạo	14	4
Nhà Hàng Món Huế - Trường Sơn	49	12
Nhà Hàng Món Huế - Vincom Center	4	1
Nhà Hàng Món Huế - Võ Văn Ngân	15	4
Nhà Hàng Món Huế - Võ Văn Tần	41	10
Nhà Hàng Món Huế Official 	8	2
Nhà Hàng Ngân Đình - Windsor Plaza	7	2
Nhà hàng Ngọc Sương - Nguyễn Đình Chiểu 	5	1
Nhà Hàng Ngôi Sao 39	35	10
Nha Hang Ngon	9771	2440
Nhà hàng Ngon	128	32
Nhà Hàng Ngon - Pasteur	14	4
Nhà Hàng Nhật Bản Okitetsu 	32	8
Nhà Hàng Nhật Bản Yamadaya - Đường Số 2	5	1
Nhà Hàng Nhật Enishi	7	2
Nhà Hàng Nhật Sachi - Linh Lang	12	3
Nhà hàng Nhật Yamadaya - Trường Sơn	44	11
Nhà Hàng Như Ý - Món Hoa	112	28
Nhà Hàng Nướng BARBECUE GARDEN	5	2
Nhà hàng Ơ Thương	35	7
Nhà Hàng Ớt Đỏ	14	4
Nhà hàng Paris Restaurant	50	10
Nha Hang Pho Haru	170	40
Nhà Hàng Phong Cua 2 - Bình Quới	7	2
Nhà Hàng Quá Ngon - Ẩm Thực 3 Miền	196	54
Nhà Hàng Quá Ngon - Lê Văn Sỹ	166	42
Nhà Hàng Quê Nhà - Không Gian Ẩm Thực Việt	5	2
Nhà Hàng Ramana	4	1
Nhà Hàng Rạng Đông	1248	312
Nhà Hàng Sân Vườn Bên Sông - Kha Vạn Cân	18	5
Nhà hàng Seasan	0	8
Nhà hàng Seoul House	20	5
Nhà Hàng Sky	32	8
Nhà Hàng Song Tân 1 - Lâm Văn Bền	4	1
Nhà hàng Sườn nướng Hàn Quốc	12	4
Nhà Hàng Tano Central	5	1
Nhà hàng Thanh Sang	4	1
Nhà Hàng Thế Giới Hải Sản Việt	60	13
Nhà hàng Thiên Phước	7	2
Nhà Hàng Thiên Phước - Dimsum & Hải Sản	12	4
Nhà Hàng Thiên Phước Lưu - An Dương Vương	51	11
Nhà Hàng Tiệc Cưới Bạch Kim - Âu Cơ	496	124
Nhà Hàng Tiệc Cưới Duyên Hải	32	8
Nhà Hàng Tiệc Cưới Hương Phố	1040	260
Nhà Hàng Tiệc Cưới Kim Thanh	256	64
Nhà Hàng Tiệc Cưới Ngọc Trâm	776	194
Nhà Hàng Tiệc Cưới Xe Cổ Hồng Cường	287	82
Nhà Hàng Tiệc Thoáng Việt	7	2
Nhà Hàng Tồ & Ngố - Ẩm Thực Châu Âu	41	11
Nhà Hàng Tràng An	8	2
Nhà hàng Tư Trì	36	9
Nhà Hàng Vạn Phúc Lầu - Ẩm Thực Trung Hoa	15	4
Nhà Hàng Vi Cá Hải Sản Đại Khánh	1408	352
Nhà hàng Việt	25	5
Nhà Hàng Việt - Hàn So Baek San	104	26
Nha Hang Vietheritage	105	25
Nhà Hàng Vườn Quê	1551	376
Nhà Hàng Vương Quốc Tôm	24	8
Nhà Hàng Xoay Hoàng Gia	12	3
Nhà hàng Ya! - Nguyễn Đình Chiểu (Nghỉ 14h-17h)	315	63
Nhà hàng YamaGoya Ramen - Nguyễn Trãi	100	25
Nhà Hàng Yên's	3	1
Nhà Hàng Yeow - Ẩm Thực Sing	15	4
Nhà Hát Bến Thành	10	3
Nhà Hát Lớn Thành Phố	2872	718
Nha Khoa Cống Quỳnh	72	24
Nha Khoa Đăng Lưu - Phan Đăng Lưu	4	1
Nha Khoa Đông Tây - Bà Hom	1032	258
Nha Khoa Dr. Vương	8	2
Nha Khoa Hồng Hạnh - Hồng Lạc	3	1
Nha Khoa Lan Anh - Hà Huy Tập	2	1
Nha Khoa Lan Anh - Huỳnh Văn Bánh	72	24
Nha Khoa Lan Anh - Tôn Dật Tiên	4	1
Nha Khoa Minh Hải - Phạm Văn Hai	1	1
Nha Khoa Minh Khai	104	208
Nha Khoa Sao Mỹ - Phan Đình Phùng	1970	394
Nha Khoa Su - Nguyễn Thị Thập	1040	260
Nha Khoa Thuận Kiều	4	1
Nha Khoa Việt Tiến - Nơ Trang Long	1	1
Nhà Khoai - Bún đậu mắm tôm	0	1
Nhã Nam Thư Quán	35	8
Nhà Sách Cá Chép - Nguyễn Thị Minh Khai	1949	560
Nhà Sách Cá Chép - Võ Văn Tần	1865	556
Nhà Sách Fahasa - AEON Mall	2034	512
Nhà Sách Hồng Ân - Nguyễn Thị Minh Khai	2277	506
Nhà Sách Kim Đồng - Cống Quỳnh	745	184
Nhà Sách Nguyễn Văn Cừ - Nguyễn Văn Cừ	1470	490
Nhà Sách Nhân Văn - Cách Mạng Tháng 8	280	112
Nhà Sách Vesta	40	8
Nhà thi đấu Phan Đình Phùng	12	3
Nhà Thi Đấu Phú Thọ	45	11
Nhà Thi Đấu Rạch Miễu - Sport Club	28	8
Nhà Thờ Camly	5	1
Nhà Thờ Đức Bà - Saigon Notre - Dame Basilica	1894	470
Nhà thờ Đức Bà Sài	72	18
nhà thờ xóm chiếu	15	3
Nhã Vân - Hủ Tiếu Mì	27	6
Nhà Văn Hoá Thanh Niên	1238	336
Nhà Vườn Long Phước	24	9
Nhà Xưa - Ẩm Thực Việt Truyền Thống	1280	320
Nhạc Việt Karaoke - Đường Số 61	77	22
Nhạc Việt Karaoke - Xuân Hồng	70	28
Nhân Ngãi - Rolls & Juice Bar	7	2
Nhân Ngãi Store	36	9
Nhân Quán - Nguyễn Trãi	0	4
Nhân Sushi Bito	28	7
Nhân Sushi Bito - Fresh Sashimi	24	6
Nhạn Trắng - Quán Nhậu & Karaoke	350	100
Nhân Trí - Bún Bò Huế	60	15
NhaRuou/ LIQhouse	19	4
Nhặt Cafe 	8	2
Nhất Dáng Nhì Da - Cộng Hòa	182	52
Nhi Em	0	4
Nhi Linh Yeung	0	2
Nhi Nhi Quán	0	5
Nhi Nhi Quán - Đặc Sản Phan Rang	8	2
Nhiên cafe	28	7
Nhím Shop - Khuông Việt	10	2
Nhím Tồ - Trái Cây Tô & Xiên Que	16	4
NhiNhi Ăn Vặt Online	12	4
Nhinhi food	55	12
Nhinhifood	12	4
Nhịp Sống Coffee	8	2
NHK Foods - Trần Lựu	864	216
nhỏ Bán Bánh	97	23
Nhu Lan	7912	1900
Như Lan	4	1
Như Min	25	5
Như Sou - Bánh tráng chấm	6	3
Như Thảo (Trà sữa)	0	4
Như Ý Nguyễn Huỳnh	4	1
Nhùn Nhui Nhẻ	6	2
Nhung Nhung	0	6
Nijyu Maru - AEON Mall	14	4
Nikko Saigon Hotel - Nguyễn Văn Cừ	1966	492
Nina's Mama Pizza - Shop Online	417	93
Nineteen Buffet - Caravelle Hotel	17	4
NiNi Bakery - Bánh Kem Pháp - Đường D2	15	4
Nini Snacks Delivery	0	1
ninisnackcorner	0	1
Ninja BBQ	12	3
Ninja BBQ - Phạm Văn Đồng	2	1
Nippon Sweet	25	5
Nippon Sweet - Japanese Drinks & Desserts	18	5
Nisa BBQ	43	11
Nitro Cream 	15	4
NN Store	3143	764
Nnice Karaoke - Cộng Hoà	270	80
